character,pinyin,english,hsk
敏捷,mǐn jié,"quick, nimble, agile",6
敏锐,mǐn ruì,"keen, sharp, acute",6
民用,mín yòng,for civilian use,6
名次,míng cì,"place in a competition, position in a ranking of names",6
名额,míng é,quota of people,6
名副其实,míng fù qí shí,to be worthy of the name,6
明明,míng míng,"obviously, undoubtedly",6
命名,mìng míng,to give a name to,6
名誉,míng yù,"reputation, honor, fame",6
膜,mó,"membrane, film",6
摩擦,mó cā,"friction, rubbing, to rub against",6
模范,mó fàn,"model, fine example",6
魔鬼,mó guǐ,devil,6
磨合,mó hé,to get familiar with,6
莫名其妙,mò míng qí miào,unable to make head or tail of it,6
默默,mò mò,"silently, quietly",6
抹杀,mǒ shā,"to erase, to deny, to write off",6
模式,mó shì,"mode, pattern",6
魔术,mó shù,magic,6
墨水儿,mò shuǐ r,ink,6
摸索,mō suǒ,"to fumble, to feel about",6
模型,mó xíng,"model, mould, matrix, pattern",6
谋求,móu qiú,"to seek, to strive for",6
目睹,mù dǔ,"to withness, to see with own eyes",6
目光,mù guāng,"sight, view, vision",6
模样,mú yàng,"look, style, appearance",6
母语,mǔ yǔ,native language,6
沐浴,mù yù,to take a bath,6
纳闷儿,nà mèn r,"to feel puzzled, to wonder",6
拿手,ná shǒu,to be good at,6
耐用,nài yòng,durable,6
难得,nán dé,rare,6
难堪,nán kān,"embarrassed, embarrassing, humiliating",6
难免,nán miǎn,"hard to avoid, unavoidable",6
难能可贵,nán néng kě guì,"commendable, estimable",6
恼火,nǎo huǒ,"to get angry, to be annoyed",6
内涵,nèi hán,"intention, meaning",6
内幕,nèi mù,"inside story, behind the scenes",6
内在,nèi zài,"inherent, intrinsic",6
能量,néng liàng,"energy, capacity, ability",6
嗯,ńg,"expressing astonishment (""what"", ""huh"", etc.)",6
拟定,nǐ dìng,"to draw up, to formulate",6
年度,nián dù,year,6
捏,niē,"to pinch, to knead",6
拧,níng,"to twist, to wring, to pinch",6
凝固,níng gù,"to solidify, to congeal",6
凝聚,níng jù,"to condense, to coagulate",6
宁肯,nìng kěn,"would rather, would prefer",6
凝视,níng shì,"to gaze, to stare",6
宁愿,nìng yuàn,"would rather, prefer to",6
纽扣儿,niǔ kòu r,button,6
扭转,niǔ zhuǎn,"to reverse, to turn round",6
浓厚,nóng hòu,"dense, thick, strong (interest), deep",6
农历,nóng lì,"traditional Chinese calendar, lunar calendar",6
奴隶,nú lì,slave,6
虐待,nüè dài,"mistreatment, to mistreat, to abuse",6
挪,nuó,"to move, to shift",6
哦,ò,oh,6
殴打,ōu dǎ,"to beat up, to hit",6
呕吐,ǒu tù,"to vomit, to throw up",6
欧洲,Ōu zhōu,Europe,6
趴,pā,to lie on the stomach,6
派别,pài bié,"faction, group, school of thought",6
排斥,pái chì,"to reject, to exclude, to repel",6
排除,pái chú,"to eliminate, to remove, to get rid of",6
排放,pái fàng,"emission, to discharge, to void",6
徘徊,pái huái,"to move around, to fluctuate, to hesitate",6
派遣,pài qiǎn,"to send, to dispatch",6
畔,pàn,"bank, side, field-path",6
攀登,pān dēng,"to climb, to clamber, to pull oneself up",6
判决,pàn jué,"judgment, adjudication, to judge, to sentence",6
盘旋,pán xuán,"to spiral, to circle, to hover",6
庞大,páng dà,"huge, enormous",6
泡沫,pào mò,"foam, bubble",6
抛弃,pāo qì,"to discard, to abandon",6
配备,pèi bèi,"equipment, to equip, to allocate",6
配偶,pèi ǒu,"spouse, partner",6
配套,pèi tào,to form a complete set,6
培训,péi xùn,"training, to train, to cultivate",6
培育,péi yù,"culture, to cultivate, to breed, to foster",6
盆地,pén dì,"basin (geography), bowl, pan",6
捧,pěng,"to hold up with both hands, to flatter",6
烹饪,pēng rèn,"cooking, culinary arts, to cook",6
劈,pī,"to hack, to chop, to cleave",6
疲惫,pí bèi,"exhausted, tired",6
批发,pī fā,"wholesale, to wholesale",6
皮革,pí gé,leather,6
屁股,pì gu,"buttocks, buttom",6
疲倦,pí juàn,"fatigue, tired, sleepy",6
批判,pī pàn,to criticize,6
譬如,pì rú,"for example, for instance",6
偏差,piān chā,"deviation, error",6
片段,piàn duàn,"fragment, extract, episode",6
偏见,piān jiàn,prejudice,6
片刻,piàn kè,"moment, short period of time",6
偏僻,piān pì,"remote, out-of-the-way",6
偏偏,piān piān,"contrary to expectations, against one's wish",6
漂浮,piāo fú,"to float, to drift, superficial, showy",6
飘扬,piāo yáng,"to wave, to flutter, to fly",6
拼搏,pīn bó,to work as hard as possible,6
品尝,pǐn cháng,"sample, to sample, to taste",6
品德,pǐn dé,moral character,6
贫乏,pín fá,"poor, lacking, insufficient",6
频繁,pín fán,"frequently, often",6
贫困,pín kùn,"poverty, poor",6
频率,pín lǜ,frequency,6
拼命,pīn mìng,"with all one has, at all costs",6
品行,pǐn xíng,"behaviour, moral conduct",6
品质,pǐn zhì,quality,6
平凡,píng fán,"common, ordinary",6
评估,píng gū,"evaluation, assessment, to evaluate, to assess",6
评论,píng lùn,"commentary, review, to comment on, to discuss",6
平面,píng miàn,"plane, flat surface, plane surface",6
平坦,píng tǎn,"flat, level, even",6
平行,píng xíng,"parallel, simultaneous, at the same level",6
平原,píng yuán,"plain, field",6
屏障,píng zhàng,"protective screen, barrier, shield",6
坡,pō,slope,6
泼,pō,"to splash, to spill",6
颇,pō,"very, pretty",6
迫不及待,pò bù jí dài,"to be too impatient to wait, to brook no delay",6
迫害,pò hài,"persecution, to persecute",6
破例,pò lì,to make an exception,6
魄力,pò lì,"courage, daring, boldness",6
扑,pū,"to throw oneself on, to pounce",6
铺,pū,"to spread, to extend, to pave, to lay",6
瀑布,pù bù,waterfall,6
普及,pǔ jí,"to popularize, popular, universally available",6
朴实,pǔ shí,"plain, simple",6
器材,qì cái,"equipment, material",6
起草,qǐ cǎo,"draft, to draft, to draw up",6
启程,qǐ chéng,to set out on a journey,6
起初,qǐ chū,"originally, at first",6
欺负,qī fu,"to bully, to intimidate",6
起伏,qǐ fú,"to undulate, to move up and down",6
乞丐,qǐ gài,beggar,6
气概,qì gài,"mettle, spirit, lofty quality",6
气功,qì gōng,qigong,6
器官,qì guān,"organ, apparatus",6
起哄,qǐ hòng,to create a disturbance,6
迄今为止,qì jīn wéi zhǐ,"so far, up to now",6
凄凉,qī liáng,"desolate, dreary, lonely",6
起码,qǐ mǎ,"at the minimum, at least",6
奇妙,qí miào,"wonderful, fantastic",6
旗袍,qí páo,Chinese dress,6
欺骗,qī piàn,"to deceive, to cheat",6
气魄,qì pò,"daring, boldness, verve",6
齐全,qí quán,complete,6
气色,qì sè,"complexion, colour",6
歧视,qí shì,"discrimination, to discriminate against",6
启示,qǐ shì,"enlightenment, announcement, apocalypse",6
启事,qǐ shì,"announcement, notice",6
气势,qì shì,"momentum, vigor, imposing manner",6
期望,qī wàng,"hope, expectation, to hope, to expect",6
气味,qì wèi,"odor, scent",6
期限,qī xiàn,"deadline, time limit",6
气象,qì xiàng,meteorology,6
齐心协力,qí xīn xié lì,"to work as one, to make concerted efforts",6
气压,qì yā,atmospheric pressure,6
起义,qǐ yì,"uprising, insurrection, revolt, to revolt, to uprise, to rebel",6
岂有此理,qǐ yǒu cǐ lǐ,"outragious, preposterous, This is not true, is it?",6
起源,qǐ yuán,"origin, source, to originate, to come from",6
旗帜,qí zhì,"flag, banner",6
掐,qiā,"to pick, to pinch, to clutch",6
恰当,qià dàng,"suitable, appropriate, proper",6
恰到好处,qià dào hǎo chù,just right,6
恰巧,qià qiǎo,"fortunately, by chance",6
洽谈,qià tán,"to talk over with, to negotiate with",6
牵扯,qiān chě,"to implicate, to involve",6
签订,qiān dìng,to conclude and sign,6
千方百计,qiān fāng bǎi jì,to try every possible way,6
前景,qián jǐng,"prospect, perspective, foreground",6
迁就,qiān jiù,"to accommodate to, to yield, to meet halfway",6
潜力,qián lì,"potential, capacity",6
签署,qiān shǔ,to sign,6
潜水,qián shuǐ,"diving, to dive, to go under water",6
前提,qián tí,"precondition, prerequisite",6
迁徙,qiān xǐ,"to move, to migrate",6
谦逊,qiān xùn,"modesty, humility, modest, humble",6
潜移默化,qián yí mò huà,to influence secretly,6
谴责,qiǎn zé,"condemnation, to denounce, to condemn, to criticize",6
牵制,qiān zhì,"to curb, to pin down, to control",6
抢劫,qiǎng jié,"robbery, plunderage, to rob, to plunder",6
抢救,qiǎng jiù,"to rescue, to save",6
强迫,qiǎng pò,"to compel, to force",6
强制,qiáng zhì,"enforcement, to enforce, to compel",6
翘,qiào,"to raise, to hold up, outstanding",6
桥梁,qiáo liáng,bridge,6
锲而不舍,qiè ér bù shě,to keep on working with perseverance,6
切实,qiè shí,"feasible, realistic, practical",6
侵犯,qīn fàn,"to infringe on, to violate (law, rule, etc.)",6
勤俭,qín jiǎn,hardworking and frugal,6
勤恳,qín kěn,"diligent, attentive, sincere",6
钦佩,qīn pèi,"to admire, to look up to",6
亲热,qīn rè,"intimate, loving, affectionate",6
亲身,qīn shēn,"personal, firsthand, personally",6
氢,qīng,hydrogen,6
情报,qíng bào,"information, intelligence",6
清澈,qīng chè,"clear, limpid",6
清晨,qīng chén,early morning,6
清除,qīng chú,"to clear away, to eliminate, to get rid of",6
轻而易举,qīng ér yì jǔ,"easy, with ease",6
请柬,qǐng jiǎn,invitation card,6
请教,qǐng jiào,"to consult, seek advice",6
清洁,qīng jié,"clean, unpolluted",6
情节,qíng jié,"story, plot, circumstances",6
晴朗,qíng lǎng,"sunny, cloudless",6
清理,qīng lǐ,"to clean up, to put in order, to check up",6
情理,qíng lǐ,"reason, sense",6
请示,qǐng shì,to ask for instructions,6
请帖,qǐng tiě,invitation card,6
倾听,qīng tīng,"to listen attentively, to give an ear to",6
清晰,qīng xī,"clear, distinct",6
倾向,qīng xiàng,"trend, tendency, to tend to, to be inclined to",6
倾斜,qīng xié,"to incline, to lean, to slant",6
清醒,qīng xǐng,"clear-headed, sober, awake",6
情形,qíng xíng,"circumstances, situation",6
清真,qīng zhēn,"Muslim, halal (food)",6
丘陵,qiū líng,hill,6
渠道,qú dào,"medium of communication, channel, ditch",6
取缔,qǔ dì,"to ban, to prohibit",6
区分,qū fēn,"to distinguish, to differentiate between",6
屈服,qū fú,"to submit, to surrender, to yield",6
趣味,qù wèi,"interest, delight, fun, taste",6
区域,qū yù,"area, region, district",6
曲折,qū zhé,"complications, winding, complicated, winding, zigzag",6
驱逐,qū zhú,"to expel, to banish",6
曲子,qǔ zi,"tune, melody, music",6
犬,quǎn,dog,6
权衡,quán héng,"to weigh, to balance, to consider",6
全局,quán jú,general situation,6
全力以赴,quán lì yǐ fù,"make an all-out effort, to go all out",6
圈套,quān tào,"trap, snare",6
拳头,quán tou,fist,6
权威,quán wēi,"authority, authoritative",6
权益,quán yì,rights and interest,6
瘸,qué,"to be lame, to limp",6
确保,què bǎo,"to assure, to guarantee",6
缺口,quē kǒu,"nick, jag, gap",6
确立,què lì,to establish,6
确切,què qiè,"exact, definite",6
缺席,quē xí,"absence, absent",6
缺陷,quē xiàn,"defect, flaw",6
确信,què xìn,"to be sure, to be certain of",6
群众,qún zhòng,the masses (people),6
染,rǎn,to dye,6
让步,ràng bù,"concession, to concede, to give in",6
扰乱,rǎo luàn,to disturb,6
饶恕,ráo shù,"to forgive, to spare",6
惹祸,rě huò,to stir up trouble,6
热泪盈眶,rè lèi yíng kuàng,having one's eyes brimming with tears,6
热门,rè mén,"popular, in vogue",6
仁慈,rén cí,"benevolence, charity, benevolent, charitable",6
人道,rén dào,"humanity, human sympathy",6
认定,rèn dìng,to believe firmly,6
人格,rén gé,"personality, integrity",6
人工,rén gōng,"artificial, man-made",6
人家,rén jia,"houshold, family, others, people, him/her, I",6
人间,rén jiān,this world,6
认可,rèn kě,"approval, acknowledgement, to approve, to accept",6
任命,rèn mìng,"to appoint, to nominate",6
忍耐,rěn nài,"to exercise patience, to restrain oneself",6
人士,rén shì,"person, public figure",6
忍受,rěn shòu,"to bear, to endure",6
人为,rén wéi,artificial,6
人性,rén xìng,"human nature, humanity",6
任性,rèn xìng,"willful, headstrong, capricious",6
任意,rèn yì,"arbitrary, at will, at random",6
人质,rén zhì,hostage,6
任重道远,rèn zhòng dào yuǎn,the burden is heavy and the road is long,6
仍旧,réng jiù,"still, yet",6
日新月异,rì xīn yuè yì,to change with each passing day,6
日益,rì yì,"more and more each day, increasingly",6
溶解,róng jiě,"solution, dissolution, to dissolve, to melt",6
容貌,róng mào,"appearance, looks",6
容纳,róng nà,"to contain, to have the capacity of, to hold",6
容器,róng qì,"container, vessel",6
融洽,róng qià,harmonious,6
容忍,róng rěn,"to tolerate, to put up with",6
揉,róu,"to knead, to massage, to rub",6
柔和,róu hé,"soft, mild, gentle",6
弱点,ruò diǎn,"weakness, weak point",6
若干,ruò gān,"some, a few, a certain number",6
撒谎,sā huǎng,to tell lies,6
腮,sāi,cheek,6
散布,sàn bù,"to scatter, to sow, to spread",6
散发,sàn fā,"emission, distribution, to emit, to distribute",6
三角,sān jiǎo,triangle,6
散文,sǎn wén,"prose, essay",6
丧失,sàng shī,"to lose, to forfeit",6
嫂子,sǎo zi,wife of older brother,6
色彩,sè cǎi,"colour, colouring, tint",6
啥,shá,what,6
刹车,shā chē,"brake, to brake (car)",6
筛选,shāi xuǎn,"Screening, to sieve out, to filter",6
擅长,shàn cháng,to be good at,6
山脉,shān mài,mountain range,6
闪烁,shǎn shuò,"to twinkle, to glimmer, to flicker",6
擅自,shàn zì,"without permission, on one's own initiative",6
商标,shāng biāo,"trademark, logo",6
上级,shàng jí,"higher authorities, superiors",6
上进心,shàng jìn xīn,desire to do better,6
伤脑筋,shāng nǎo jīn,"troublesome, knotty",6
上任,shàng rèn,to take office,6
上瘾,shàng yǐn,"addiction, to be addicted to, to get into a habit",6
上游,shàng yóu,upper reaches; advanced position,6
梢,shāo,tip of a branch,6
捎,shāo,"to pass on, to bring sth. to sb.",6
哨,shào,"whistle, sentry",6
奢侈,shē chǐ,"luxurious, extravagant",6
涉及,shè jí,"involve, concern",6
设立,shè lì,"to set up, to establish",6
社区,shè qū,community,6
摄取,shè qǔ,"to absorb, to take a photo",6
摄氏度,shè shì dù,degree centigrade,6
设想,shè xiǎng,"to imagine, to assume",6
设置,shè zhì,"to install, to set up",6
深奥,shēn ào,"deep, abstruse, profound",6
申报,shēn bào,"declaration, to declare, to report, to register",6
审查,shěn chá,"censorship, investigation, to censor, to inspect, to examine",6
深沉,shēn chén,"deep, dull, heavy",6
审理,shěn lǐ,"to try (law), to hear (a case)",6
审美,shěn měi,"taste, appreciation of the beauty, esthetic",6
审判,shěn pàn,"trial, put (sb) on trial",6
神气,shén qì,"(facial) expression, spirited, cocky",6
神奇,shén qí,"miraculous, mystical",6
神情,shén qíng,"look, expression, mien",6
深情厚谊,shēn qíng hòu yì,profound friendship,6
神色,shén sè,"expression, look",6
神圣,shén shèng,"holy, sacred",6
绅士,shēn shì,gentleman,6
神态,shén tài,"expression, manner",6
渗透,shèn tòu,"osmosis, infiltration, to permeate, to infiltrate",6
神仙,shén xiān,"supernatural being, fairy, elf, immortal",6
呻吟,shēn yín,"to moan, to groan",6
慎重,shèn zhòng,"cautious, careful, prudent",6
盛产,shèng chǎn,"to abound, to teem with",6
牲畜,shēng chù,"livestock, domesticated animals",6
生存,shēng cún,"existence, to exist, to survive",6
胜负,shèng fù,victory or defeat,6
省会,shěng huì,provincial capital,6
生机,shēng jī,"chance of survival, vitality",6
盛开,shèng kāi,to bloom,6
生理,shēng lǐ,physiology,6
声明,shēng míng,"statement, declaration, to state, to declare",6
盛情,shèng qíng,"magnificent hospitality, great kindness",6
声势,shēng shì,momentum,6
生疏,shēng shū,"strange, unfamiliar, out of practice",6
生态,shēng tài,ecology,6
生物,shēng wù,"organism, living thing",6
生效,shēng xiào,"to take effect, to come into effect",6
盛行,shèng xíng,"to prevail, to be in vogue",6
生锈,shēng xiù,"corrosion , to rust, to corrode",6
生育,shēng yù,"to bear, to give birth to, procreate",6
声誉,shēng yù,"reputation, fame",6
拾,shí,"to pick up, 10 (in banks)",6
势必,shì bì,"certainly will, is bound to",6
识别,shí bié,"to identify, to distinguish",6
时差,shí chā,time difference,6
时常,shí cháng,"often, frequently",6
世代,shì dài,"generation, era",6
时而,shí ér,"occasionally, from time to time",6
师范,shī fàn,"teacher training, pedagogical",6
示范,shì fàn,"demonstration, to demonstrate, to show how to do sth.",6
释放,shì fàng,"to release, to set free",6
是非,shì fēi,"quarrel, dispute, right or wrong",6
事故,shì gù,accident,6
时光,shí guāng,"time, days",6
实惠,shí huì,"tangible benefit, material advantage, advantageous",6
时机,shí jī,"moment of opportunity, fortunate timing",6
事迹,shì jì,"deed, achievement",6
施加,shī jiā,to exert (pressure),6
事件,shì jiàn,"event, happening, incident",6
世界观,shì jiè guān,worldview,6
实力,shí lì,strength,6
视力,shì lì,eyesight,6
势力,shì li,"force, power, influence",6
使命,shǐ mìng,"mission, task",6
实施,shí shī,"to carry out, to enforce, to implement",6
时事,shí shì,"current affairs, present situation",6
逝世,shì shì,"to pass away, to die",6
实事求是,shí shì qiú shì,to be practical and realistic,6
事态,shì tài,"situation, state of affairs",6
尸体,shī tǐ,"dead body, cadaver",6
试图,shì tú,"to attempt, to try",6
示威,shì wēi,"demonstration, to demonstrate against",6
失误,shī wù,"lapse, mistake, fault",6
事务,shì wù,"work, routine, affair",6
视线,shì xiàn,line of sight,6
事项,shì xiàng,"matter, item",6
试验,shì yàn,"experiment, to test, to experiment",6
视野,shì yě,field of vision,6
事业,shì yè,"undertaking, career",6
适宜,shì yí,"suitable, appropriate",6
示意,shì yì,"hint, sign, signal, to hint, to signify",6
石油,shí yóu,"oil, petroleum",6
施展,shī zhǎn,"to give full play, to put to good use",6
实质,shí zhì,"essence, substance",6
时装,shí zhuāng,"fashionable dress, latest fashion",6
失踪,shī zōng,"to disappear, to be missing",6
十足,shí zú,"complete, hundred percent, full of",6
收藏,shōu cáng,"to collect, to store up",6
手法,shǒu fǎ,"technique, trick, skill",6
守护,shǒu hù,"to guard, to protect",6
手势,shǒu shì,"gesture, sign, signal",6
收缩,shōu suō,"to shrink, to contract",6
首要,shǒu yào,"most important, chief, principal",6
收益,shōu yì,"profit, income",6
手艺,shǒu yì,"craftsmanship, handicraft",6
收音机,shōu yīn jī,radio,6
授予,shòu yǔ,"to award, to confer, to grant",6
受罪,shòu zuì,"to endure, to suffer, to have a hard time",6
数,shǔ,to count,6
竖,shù,"to erect, to stand, vertical",6
束,shù,"bundle, cluster, to bind, to tie Measure, for a bundle of",6
舒畅,shū chàng,"happy, entirely free from worry",6
数额,shù é,amount,6
书法,shū fǎ,calligraphy,6
束缚,shù fù,"constraint, shackles, to restrict, to bind, to tie down",6
疏忽,shū hu,"negligence, carelessness, to neglect, to omit",6
书籍,shū jí,"books, works, literature",6
书记,shū jì,secretary,6
树立,shù lì,"to set up, to establish",6
书面,shū miàn,"written, in written form",6
数目,shù mù,"number, amount, quantity",6
耍,shuǎ,to play with,6
衰老,shuāi lǎo,"to age, to grow old, old and weak",6
率领,shuài lǐng,"to lead, to command",6
衰退,shuāi tuì,"recession, decline, to decline, to fall",6
涮火锅,shuàn huǒ guō,to eat Hot Pot,6
双胞胎,shuāng bāo tāi,twins,6
爽快,shuǎng kuài,"refreshed, rejuvenated, frank, outright",6
水利,shuǐ lì,"water conservancy, irrigation works",6
水龙头,shuǐ lóng tóu,"faucet, tap",6
水泥,shuǐ ní,cement,6
司法,sī fǎ,"judicature, justice",6
司令,sī lìng,"commander, commanding officer",6
思念,sī niàn,"to miss, to think of, to long for",6
思索,sī suǒ,"to think deeply, to ponder",6
死亡,sǐ wáng,"death, to die",6
思维,sī wéi,"thought, thinking",6
斯文,sī wen,"refined, educated, gentle",6
肆无忌惮,sì wú jì dàn,"unrestrained, without the slightest scruple",6
思绪,sī xù,"train of thought, thinking, feeling",6
饲养,sì yǎng,"to raise, to rear",6
四肢,sì zhī,"arms and legs, four limbs",6
私自,sī zì,"without approval, secretly, privately",6
耸,sǒng,"to shrug, to startle",6
艘,sōu,"Measure, for ships, boats",6
搜索,sōu suǒ,"to search, to look for sth.",6
俗话,sú huà,"proverb, saying",6
素食主义,sù shí zhǔ yì,vegetarianism,6
诉讼,sù sòng,"lawsuit, litigation",6
苏醒,sū xǐng,"to wake up, to regain consciousness",6
塑造,sù zào,"to shape, to mould",6
素质,sù zhì,"quality, basic essence",6
算了,suàn le,forget it!,6
算数,suàn shù,"to count, to hold, to keep one's word, to be valid",6
隧道,suì dào,tunnel,6
随即,suí jí,"immediately, right afterwards",6
随身,suí shēn,to take with one,6
随手,suí shǒu,"conveniently, without extra trouble",6
随意,suí yì,"as one wishes, voluntary, random",6
岁月,suì yuè,years,6
损坏,sǔn huài,"to damage, to break, to spoil",6
索赔,suǒ péi,to claim damages,6
索性,suǒ xìng,"might as well, simply",6
塌,tā,"to collapse, to fall down, to cave in",6
踏实,tā shi,"down-to-earth, anxiety-free",6
泰斗,tài dǒu,"leading authority, magnate",6
台风,tái fēng,"hurricane, typhoon",6
太空,tài kōng,outer space,6
坦白,tǎn bái,"confession, to confess, to admit, frank, candid",6
探测,tàn cè,"sounding, eploration, to explore, to sound, to probe",6
瘫痪,tān huàn,paralysis,6
贪婪,tān lán,"greed, greedy, avid, grasping",6
叹气,tàn qì,"sigh, to sigh",6
摊儿,tān r,"street vendor, stall, stand",6
探索,tàn suǒ,"to explore, to probe",6
探讨,tàn tǎo,"to investigate, to discuss, to probe into",6
探望,tàn wàng,to visit,6
贪污,tān wū,"corruption, corrupt",6
弹性,tán xìng,elasticity,6
糖葫芦,táng hú lu,sugarcoated haws on a stick,6
倘若,tǎng ruò,"if, in case",6
掏,tāo,"to take out, to fish out",6
陶瓷,táo cí,"ceramics, porcelain",6
讨价还价,tǎo jià huán jià,to bargain,6
淘气,táo qì,naughty,6
淘汰,táo tài,"to eliminate through selection, to wash",6
滔滔不绝,tāo tāo bù jué,talking non-stop,6
特长,tè cháng,"personal strength, speciality",6
特定,tè dìng,"special, specific, particular",6
特色,tè sè,"distinguishing feature, characteristic",6
提拔,tí bá,to select for promotion,6
题材,tí cái,"subject matter, theme",6
提炼,tí liàn,"to extract, to refine",6
体谅,tǐ liàng,"to empathize, to show understanding",6
体面,tǐ miàn,"dignity, face, honourable",6
提示,tí shì,"to prompt, to point out",6
体系,tǐ xì,"system, setup",6
提议,tí yì,"proposal, suggestion, to propose, to suggest",6
舔,tiǎn,to lick,6
天才,tiān cái,"talent, gift, talented, gifted",6
田径,tián jìng,"track and field, athletics",6
天伦之乐,tiān lún zhī lè,family happiness,6
天然气,tiān rán qì,natural gas,6
天生,tiān shēng,"innate, natural",6
天堂,tiān táng,"paradise, heaven",6
天文,tiān wén,astronomy,6
挑拨,tiǎo bō,"to instigate, to stir up trouble, to provoke",6
调和,tiáo hé,"reconciliation, to harmonize, to mediate",6
调剂,tiáo jì,"to adjust, to regulate, to fill a prescription",6
调节,tiáo jié,"to adjust, to regulate, to reconcile",6
调解,tiáo jiě,"to mediate, to conciliate",6
条款,tiáo kuǎn,"clause, article, term",6
条理,tiáo lǐ,"orderliness, method, system",6
调料,tiáo liào,"flavouring, seasoning",6
挑剔,tiāo ti,"picky, fussy",6
挑衅,tiǎo xìn,"provocation, to provoke",6
条约,tiáo yuē,"treaty, pact",6
跳跃,tiào yuè,"to jump, to hop, to skip",6
挺拔,tǐng bá,tall and straight,6
停泊,tíng bó,"to anchor, to berth at",6
停顿,tíng dùn,"pause, halt, to pause, to come to a standstill",6
停滞,tíng zhì,to stagnate,6
亭子,tíng zi,pavilion,6
同胞,tóng bāo,"brother or sister by blood, fellow citizen, compatriot",6
统筹兼顾,tǒng chóu jiān gù,to make a plan taking into account all factors,6
童话,tóng huà,fairy tale,6
通货膨胀,tōng huò péng zhàng,inflation,6
统计,tǒng jì,statistics,6
铜矿,tóng kuàng,copper mine,6
通俗,tōng sú,"popular, understandable",6
统统,tǒng tǒng,"completely, entirely",6
通用,tōng yòng,"commonly used, interchangeable",6
同志,tóng zhì,"comrade, homosexual",6
投机,tóu jī,"to speculate, opportunistic, congenial",6
投票,tóu piào,"poll, to vote",6
投降,tóu xiáng,"surrender, to surrender",6
投掷,tóu zhì,"to throw, to toss",6
秃,tū,"bald, blunt",6
图案,tú àn,"design, pattern",6
徒弟,tú dì,apprentice,6
途径,tú jìng,"way, approach, route",6
涂抹,tú mǒ,"to paint, to smear",6
突破,tū pò,"to break trhough, to make a breakthrough",6
土壤,tǔ rǎng,"soil, earth",6
团结,tuán jié,"rally, to unite, to join forces, to hold a rally",6
团体,tuán tǐ,"group, organization, team",6
团员,tuán yuán,member,6
推测,tuī cè,"speculation, to speculate, to guess, to presume",6
推翻,tuī fān,"to overthrow, to overturn, to reverse, to topple",6
推理,tuī lǐ,"reasoning, inference",6
推论,tuī lùn,"deduction, reasoned conclusion, to infer",6
推销,tuī xiāo,"to market, to sell",6
吞咽,tūn yàn,to swallow,6
妥当,tuǒ dang,"appropriate, proper, suitable",6
脱离,tuō lí,"to break away from, to separate oneself from",6
唾沫,tuò mo,"spittle, saliva",6
妥善,tuǒ shàn,"appropriate, proper, careful",6
妥协,tuǒ xié,"compromise, to comprmise, to reach terms",6
拖延,tuō yán,"adjournment, procrastination, to adjourn, to delay",6
椭圆,tuǒ yuán,"ellipse, oval, elliptic",6
托运,tuō yùn,"to consign (goods), to check (baggage)",6
哇,wa,oh,6
瓦解,wǎ jiě,"collapse, disintegrate",6
挖掘,wā jué,"to dig, to excavate",6
娃娃,wá wa,"baby, small child, doll",6
外表,wài biǎo,appearance,6
外行,wài háng,"amateur, laity, unprofessional",6
外界,wài jiè,the outside world,6
歪曲,wāi qū,"to distort, to misrepresent",6
外向,wài xiàng,extrovert,6
丸,wán,"Measure, for pills, small balls, etc.",6
完备,wán bèi,"complete, perfect, faultless",6
完毕,wán bì,"to complete, to finish",6
万分,wàn fēn,"very much, extremely",6
顽固,wán gù,"stubborn, obstinate",6
挽回,wǎn huí,"to retrieve, to redeem, to save (face)",6
挽救,wǎn jiù,"to save, to rescue",6
玩弄,wán nòng,"to play with, to flirt",6
顽强,wán qiáng,"tenacious, indomitable",6
惋惜,wǎn xī,"to feel sorry for sbd., to sympathize with",6
玩意儿,wán yì r,toy,6
往常,wǎng cháng,as one used to do,6
网络,wǎng luò,"network, internet",6
往事,wǎng shì,"past events, the past",6
妄想,wàng xiǎng,"wishful thinking, a vain hope, delusion, to vainly hope to do sth",6
违背,wéi bèi,"to disobey, to violate, to go against",6
微不足道,wēi bù zú dào,"insignificant, negligible",6
维持,wéi chí,"to keep, to maintain, to preserve",6
唯独,wéi dú,"only, just, alone",6
威风,wēi fēng,"power and prestige, majestic, awe-inspiring",6
微观,wēi guān,microscopic,6
危机,wēi jī,crisis,6
畏惧,wèi jù,"to fear, to dread, to be afraid of",6
胃口,wèi kǒu,appetite,6
威力,wēi lì,"might, formidable power",6
未免,wèi miǎn,"rather, a bit too",6
为难,wéi nán,"to feel embarrassed, to feel awkward",6
为期,wéi qī,be done by a definite date,6
维生素,wéi shēng sù,vitamin,6
为首,wéi shǒu,"to head, to be headed by",6
威望,wēi wàng,prestige,6
慰问,wèi wèn,"consolation, greetings, to express sympathy",6
威信,wēi xìn,"prestige and public reliance (government, etc.)",6
卫星,wèi xīng,satellite,6
维修,wéi xiū,"maintenance, to maintain, to protect",6
位于,wèi yú,"to lie, to be located at",6
委员,wěi yuán,"committee member, commissioner",6
伪造,wěi zào,"to forge, to fake",6
温带,wēn dài,temperate zone,6
温和,wēn hé,"moderate, mild, temperate",6
文凭,wén píng,diploma,6
问世,wèn shì,"to be published, to come out",6
文物,wén wù,cultural relic,6
文献,wén xiàn,"document, literature",6
文雅,wén yǎ,"elegant, refined",6
文艺,wén yì,literature and art,6
